id,name,final_specific_general_term
12844,Micro-croissants,review needed
12879,Chocolate treats - Mini Eggs,review needed
12875,Campagnetic vinaigrette,review needed
12874,Fresh chicken souvlakis,review needed
12872,Jam - Smucker's - View Varieties in-store,jam
12870,waffles,review needed
12864,Almond Drink - Natur-A,review needed
10716,Creamy and light peanut butter,review needed
10734,Yogurt - Activia,review needed
10715,Very big green peppers - from Quebec,review needed
10605,Instant Gruau - See Varieties In Store,review needed
10474,Peanut Butter - All Natural,review needed
10475,Refrigerated dessert,review needed
10476,Nail Polish - Sewing Gel,review needed
10521,Chips - Unnamed,review needed
10523,Smoked sausages coated with frozen dough - original - save 50 ¢ with a good-discount in store,review needed
10525,Disinfecting wipes,review needed
10585,Frozen cheese cake cups - see in store varieties,review needed
10607,Lipstick - Exhibitionist,review needed
10586,Almond Butter - Blue Menu,review needed
10599,Apple juice - see varieties in store,review needed
10601,Chocolate,review needed
10602,"Toothpaste - Maxfresh - Saturday 26 and Sunday, October 27th only.- limit of 4 - 99 ¢ per additional article",review needed
10603,"Imperial pieces with meat, chicken or frozen vegetables",review needed
10606,Disinfecting wipes,review needed
10473,Underprint - Saturday 7th and Sunday 8 July only - Limit of 4 - $ 3.49 per item out of bounds,review needed
10469,Licorice,licorice
10467,Revitalizer - Fructis,review needed
10479,Frozen millefeuille,review needed
10455,Cheese bar - Unnamed - limit of 4 - $ 5.49 per additional item,review needed
10450,Rice,review needed
10448,Disinfecting wipes,review needed
10447,Slicing cheese,review needed
10442,Margarine,review needed
10441,Pieces of frozen breaded chicken thigh,review needed
10439,Cheese Sticks - Ficello,review needed
10453,Tartinade + Bread Sticks & GO,review needed
10481,Acetaminophen - Regular 325 mg,medicine
10488,Campagnetic vinaigrette,review needed
10519,Yellow Potatoes - Quebec - Canada # 1,review needed
10518,Licorice,licorice
10527,Natural gas source water,review needed
10612,Bars - Vector - See Varieties In stock,review needed
10333,Partially skimmed milk 1% - Purfiltr,review needed
10325,Cats Food - Cat Chow,review needed
10537,Dishwasher - View Varieties In store,review needed
10529,"Rice Takers, Baby Biscotties - Baby Mum-Mum",review needed
10528,fisheries,review needed
10438,Frozen Whipped Flooring - Cool Whip - Best Prices year,review needed
10437,Refrigerated lemonade,review needed
10435,Frozen Pizza - Giuseppe,review needed
10613,"Charcuterie, Bologna",review needed
10312,Licorice - NIBS - See Varieties in-store,licorice
10315,Mini bars,review needed
10316,Lozenges,review needed
10321,Frozen chicken fillets,review needed
10326,Capillary dye - image,review needed
10541,Frozen waffles - EGGO,review needed
10542,Frozen Dinner - O 'Sole Mio - See Varieties In Store,review needed
10545,Toothbrush - Twister - Saturday 21 and Sunday 22 September only.- limit of 4 - 99 ¢ per additional article,review needed
10547,Mini-Cakes - Annette's - See Varieties in-store,review needed
10548,"White eggs, Gros Caliber, Category A - Saturday 13 and Sunday October 14th Only - Limit of 2 - $ 2.49 The rest of the week or by item outside the limit",review needed
10551,Disinfecting wipes,review needed
10558,Lemons,review needed
10561,Ice Sweets - Drumstick - View Varieties in-store,review needed
10565,Wiper - Unnamed,review needed
10568,Peanut Butter - All Natural,review needed
10574,Lunch,review needed
10620,Jam - Smucker's,jam
10617,leek,review needed
10616,Frozen pastry - Toaster Strudel - See in store varieties,review needed
10517,Pure honey,review needed
10516,minced pork,review needed
10514,Crunchy natural peanut butter,review needed
11602,Mid-Sweet Chocolate - Baker's,review needed
11447,"Hygienic paper - Original - Saturday 4th and Sunday, January 5th, only - Limit of 4 - $ 5.99 per additional item - $ 5.99 The rest of the week",review needed
11520,Chocolate and Hazelnut Spread - President's Choice,review needed
11530,Bars - Lucky Charms - View Varieties in-store,review needed
11675,Chocolate-hazelnut spread,review needed
11628,grapes,review needed
11599,Toothbrush - Extra Clean,review needed
11610,fresh pasta stuffed,review needed
10509,Disinfecting wipes,review needed
11615,Ice Cream With Vanilla,review needed
11619,Bleach,review needed
11624,Cereal - Alpha-Bits - 50% discount,review needed
11629,Hygienic paper - * Bonus 25 points m,review needed
11534,Acetaminophen - Regular 325 mg,medicine
11642,Apples Russet - Quebec - Canada of Fantasy - Best Awards of the Year,review needed
11448,Chocolate Eggs - Mini Eggs - Saturday 30th and Sunday March 31st - Limit of 4 - $ 7.99 The rest of the week or by article out of bound,review needed
11449,Bars,review needed
11451,Boneless fresh chicken breasts - premium - high without antibiotics,review needed
11452,Powder preparation for infants with omega - See in store varieties,review needed
11453,Disinfecting wipes,review needed
11454,Frozen Whipped Flooring - Cool Whip - Best Prices year,review needed
11461,Cheese Bar - Unnamed - See Varieties In Store,review needed
11462,Cheese - waterfowl,review needed
11463,Frozen fish fillets - Select selected,review needed
11470,Refrigerated dessert,review needed
11471,Cat Food - Friskies,review needed
11475,Ground coffee - * bonus 45 points m,review needed
11477,Jam - Smucker's - * Bonus 20 Points M,jam
11481,Ice Cream With Vanilla,review needed
11482,K-Cup bucket coffee,review needed
11483,Yogurt,review needed
11519,Grated mozzarella cheese,review needed
11662,Capillary Color - Image - Saturday 1st September alone - Limit of 4 - $ 5.99 The rest of the week or by article out of bounds,review needed
11665,sausage,review needed
11537,Shampoo - See Varieties In Store,review needed
10482,Ice Cream With Vanilla,review needed
10508,Beer in cans - Buy 1 and get $ 10 off your grocery shopping cart,review needed
10500,Provolone cheese,review needed
10499,Cake mix - see varieties in store,review needed
10498,Snatcher,review needed
10494,Bars - see varieties in store,review needed
10492,"Turkey Hachis - Irresistibles, Wellness",review needed
10490,Mozzarelissima bar,review needed
10504,Small yellow-flesh potatoes - from Quebec - Canada No 1,review needed
7197,Acetaminophen - Regular 325 mg,medicine
11047,Textile softening in leaves,review needed
11052,English muffins,review needed
11535,Antisodorific or deodorant,review needed
11536,Mouthwash - Pro-Health,review needed
11538,spinach babies,review needed
11669,Textile softening in leaves,review needed
11540,Pizza lift-au oven frozen,review needed
11543,spinach babies,review needed
11556,Peanut Butter,review needed
11568,Red Tomatoes of Organic Serre - Quebec,review needed
11571,Peanut Butter - Creamy and Light - Saturday 15th and Sunday 16 December Only - Limit of 4 - $ 4.99 The rest of the week or by article out of bound,review needed
11576,Instant coffee,review needed
11577,Frozen Whipped Flooring - Cool Whip - Best Prices year,review needed
11580,Acetaminophen - Regular 325 mg,medicine
11586,Textile softening in leaves,review needed
11594,nectarines,review needed
11597,Beer in cans - * bonus 50 points m,review needed
11598,Shampoo - Whole Blends,review needed
11672,Frozen Whipped Flooring - Cool Whip - Best Prices year,review needed
10346,Red pepper of greenhouse - Canada and / or Mexico,review needed
10335,Lemons,review needed
10711,Frozen Pancakes - EGGO - * Bonus 15 Points M,review needed
10944,Frozen fries potatoes - Superfries,review needed
10862,"Hygienic paper - President's choice - Saturday, 22 and Sunday, June 23rd only.- Limit of 4 - $ 5.99 The rest of the week or by item outside the limit.",review needed
10863,Toothpaste - MaxFris - Saturday 17 and Sunday 18 August only.- Limit of 4 - 99 ¢ The rest of the week or by item outside the limit,review needed
10866,"Chips - Saturday, July 13th only!- Limit of 4 - $ 4.49 The rest of the week or by item outside the limit",review needed
10867,"chopped beef, skinny",review needed
10872,Ice Cream With Vanilla,review needed
10939,Cereal - Mini Wheats,review needed
10957,spinach babies,review needed
11020,Apples Russet - Quebec - Canada of Fantasy - Best Awards of the Year,review needed
11014,Chocolate spreads & go!,review needed
11004,Mortadelle,review needed
11005,nectarines,review needed
11006,cracker,review needed
11009,Biological Hass Lawyer - Mexico,review needed
11010,Frozen puff pastry,review needed
10859,Cereal - Special K,review needed
10874,Honey - President's Choice - See Varieties In Store,review needed
10856,Frozen chicken wings,review needed
10851,"K-Cup bucket coffee - save $ 2 - * $ 14.99 without coupon - 1 coupon limit by purchase, by customer",review needed
10850,Frozen Pizza - Giuseppe,review needed
10849,Cheese - Sir Laurier d'Arthabaska,review needed
10848,"chicken, chest, with bone",review needed
10842,Sliced charcuterie - see varieties in store,review needed
10841,Red Potatoes - From Quebec - Canada No 1,potatoes
10852,Cookies - Saturday 18th and Sunday 19 August only - Limit of 4 - $ 1.99 The rest of the week or by article out of bound,cookies
10637,Frozen Pancakes - EGGO - * Bonus 15 Points M,review needed
10880,Pellets - see varieties in store,review needed
10890,Acetaminophen - Regular 325 mg,medicine
10933,Tomatoes,review needed
10932,Disinfecting wipes,review needed
10928,Peanut Butter - Creamy and Light - Saturday 29 and Sunday 30 September only - Limit of 4 - $ 4.99 The rest of the week or by item outside the limit,review needed
10918,Iced tea,review needed
11011,Young Spinach - US,review needed
10960,Cereal - Special K,review needed
10337,Tartier Cheese - Cheez Whiz,review needed
10835,"White shrimp of the non-cooked Pacific with tail, delicated, easy to pearl and frozen - size: 21-25 units / lb",review needed
10974,Soft drink,review needed
10973,Lince-Mouth - Ultra Clean,review needed
10970,"Silved charcuteries - Buy 3 and get 30 air miles as a premium.Friday, December 7th only.",review needed
10963,Organic Milk - President's Choice - See Varieties In-store,review needed
10840,Couscous,review needed
10833,Antiperspirants - see varieties in store,medicine
11023,Jam,jam
10713,Dry Food for Dogs - Vitality,review needed
10690,Biological Hass Lawyer - Mexico,review needed
10691,Coffee in Capsules - Nabob,review needed
10699,Herbal pellets against coughs,review needed
10702,Toothbrush - Extra Clean - Saturday 18th and Sunday 19 August only - Limit of 4 - 99 ¢ The rest of the week or by article out of bounds,review needed
10709,Lip Balm - Baby Lips,review needed
10982,Smoke chicken sausages,review needed
10983,Nail Polish - Xtreme Wear,review needed
10984,K-Cup bucket coffee,review needed
10989,Fruit Juice - Hydrafruit,review needed
10991,Pizza lift-au oven frozen,review needed
10992,"Frozen pizza - Giuseppe thin crust - Friday, March 29th only.Buy 2 and get 25 miles air miles as a premium.",review needed
10993,Wooden surface cleaner,review needed
10998,Coffee in organic and fair grains,review needed
11000,Capillary color,review needed
11001,Biological Peanut Butter - President's Choice,review needed
11003,Wipes,review needed
11036,Dog Food - Kibbles'N Bits,review needed
11034,Solar products,review needed
11030,Teaser,review needed
11029,cracker,review needed
10915,Cream 35%,review needed
10912,Mango Ataulfo - Mexico,review needed
10883,Bars - see varieties in store,review needed
10409,Jam - Pure - View Varieties in store,jam
10279,Cheese - Sir Laurier d'Arthabaska,review needed
10273,Green Greater Peppers - Quebec,review needed
10266,Blueberries - Canada and / or the United States,review needed
10345,Juice or cranberry cocktail - see varieties in store,review needed
10350,Wax,review needed
10433,Laundry Detergent - Ultra Packs - Saturday 8th and Sunday 9 September Only - Limit of 4 - $ 3.99 The rest of the week or by item outside the limit,review needed
10393,Spread,review needed
10908,Hot Chocolate Mix - Carnation,review needed
10396,Yogurt - Yocrunch - View Varieties in store,review needed
10398,Cleansing Wipes - Marcell,review needed
10402,Red wine,review needed
10403,Training Panties - Easy UPS,review needed
10407,Frozen Pizza - Vintage,review needed
10411,Black plums - the United States and / or Spain - Category # 1 - Ordinary price: $ 4.99,review needed
10280,Cranberries - MAISINS,review needed
10281,Biological Grape Tomatoes - Quebec,review needed
10283,Dog Treats - Dentalife,review needed
10290,grapes,review needed
10292,Frozen Pork Back Côtes - Save $ 5.11,review needed
10293,Honey,review needed
10296,Frozen breaded chicken burgers - pub style,review needed
10300,Ice Sweets - Drumstick - View Varieties in-store,review needed
10301,Ice Cream With Vanilla,review needed
10306,Non-dairy drink - see varieties in store,review needed
10307,Syrup for chocolate milk - Nesquik,review needed
10308,Wipes,review needed
10309,Pie - Baked Selection - See Varieties In Store,review needed
10341,Licorice - NIBS - See Varieties in-store,licorice
10339,Frozen meal - O 'Sole Mio - See in store varieties,review needed
10351,Organic green zucchini - Mexico,review needed
10414,Shampoo - See Varieties In Store,review needed
10366,Textile softening in leaves,review needed
10904,Lemons,review needed
10902,Yogurt to drink - Yop - see varieties in store,review needed
10899,Sachet tea - See varieties in store - Buy 1 and get 500 points optimum,review needed
10896,Peanut Butter - Creamy - Saturday 29 and Sunday 30 December only - Limit of 4 - $ 4.99 The rest of the week or by article out of bound,review needed
10895,Mini Cucumbers - Canada,review needed
10907,Underprint - Saturday 7th and Sunday 8 July only - Limit of 4 - $ 3.49 per item out of bounds,review needed
11046,"Mini-tomatoes (cherry, miniature or grapes)",review needed
10626,"Toothbrush - Extra Clean - Saturday, August 31 only.- Limit of 4 - 99 ¢ The rest of the week or by item outside the limit",review needed
10621,Candy - Jolly Rancher - * Bonus 45 Points M,review needed
10358,Small yellow-flesh potatoes - from Quebec - Canada No 1,review needed
10360,Revitalizing - Naked Herbal Essences,review needed
10364,Chocolate milk 1%,review needed
10365,Licorice - NIBS - See Varieties in-store,licorice
10369,mango,review needed
10420,Frozen fruit - President's choice - See in-store variety,review needed
10371,Biological Hass Lawyer - Mexico,review needed
10372,Disinfecting wipes,review needed
10374,Red Tomatoes of Organic Serre - Quebec,review needed
10376,Laundry Detergent - Ultra Packs - Saturday 8th and Sunday 9 September Only - Limit of 4 - $ 3.99 The rest of the week or by item outside the limit,review needed
10383,Cat Food - Friskies,review needed
10384,Crunchy peanut butter,review needed
10385,Organic Ground Coffee - See Varieties In Store,review needed
10386,Cheese - mozzarellissima,review needed
10387,Grated cheese - see varieties in store,review needed
10388,Ice Sweets - Drumstick - View Varieties in-store,review needed
10391,Yellow Beans - Quebec,review needed
10424,Peanut Butter - Naturalia - See Varieties In Store,review needed
10421,Traditional garlic castor,review needed
22826,Sliced cheese product - Singles - Lower price of the year,review needed
22827,Salad mix - of the United States,review needed
22828,Ice Sweets - Drumstick - View Varieties in-store,review needed
14406,Hygienic buffers - Pearl,review needed
14392,Boneless Palette Low Roast - from Beef Canada AA or a higher category or USDA SELECT,review needed
14395,Instant coffee,review needed
14398,Frozen Pacific Wild Pink Salmon Fillet,review needed
14399,Chopped of turkey chest,review needed
14401,sports drink,review needed
14347,Seasoned chicken straps,review needed
14389,Frozen waffles - EGGO,review needed
14408,Chocolate syrup - Nesquik,review needed
14411,Frozen Pizza - Giuseppe,review needed
14414,Disinfecting wipes,review needed
14417,"Toothbrush - Extra Clean - Saturday, August 31 only.- Limit of 4 - 99 ¢ The rest of the week or by item outside the limit",review needed
14419,Refrigerated Beverage - Oasis Morning - See Varieties In Store,review needed
14405,feta cheese,review needed
14421,Frozen potato cakes,review needed
14344,Instant Gruau - See Varieties In Store,review needed
14334,Cats Food - Cat Chow - Save $ 1.50,review needed
14257,"Tissue Paper - Unnamed - Saturday 5th and Sunday, January 6th Only - Limit of 4 - $ 3.99 The rest of the week or by article out of bound",tissue paper
14258,Frozen breaded chicken nuggets - pub recipe,review needed
14259,Biological Hass Lawyer - Mexico,review needed
14266,Organic Gala Apples - from Washington - Extra Category of Fantasy,review needed
14269,Creamy peanut butter - all natural,review needed
14275,Sliced charcuterie - see varieties in store,review needed
14277,"Ground coffee - traditional, average roasting",review needed
14278,Hygienic buffers - Pearl,review needed
14280,Cheese Taste - * Bonus 20 Points M,review needed
14283,Jam - Smucker's,jam
14284,Pulp Powder - Fleischman's,review needed
14287,Frozen Whipped Flooring - Cool Whip - Best Prices year,review needed
14390,Pizza lift-au oven frozen,review needed
14386,Smoked sausages - see varieties in store,review needed
14290,Laundry Detergent - Ultra Packs - Saturday 8th and Sunday 9 September Only - Limit of 4 - $ 3.99 The rest of the week or by item outside the limit,review needed
14885,spinach babies,review needed
14874,Revitalizer - Hair Expertise,review needed
14875,Instant Gruau - See Varieties In Store,review needed
14877,"White Eggs Omega-3, Gros Caliber - Irresistible Wellness",review needed
14881,Risotto - Express Bistro - View Varieties in store,review needed
14882,Capocollo,review needed
14871,Frozen Pizza - Giuseppe,review needed
14385,Beer in cans - Buy 1 box and Provigo will pay the equivalent of taxes and the setpoint.($ 7.04),review needed
14890,Red mango,review needed
14891,"Fresh Atlantic salmon fillet, no edges",review needed
14896,"Hygienic paper - Saturday, June 16th only - limit of 4 - $ 5.49 the rest of the week or by article out of bounds",review needed
14897,Snack,review needed
14901,Peanut Butter - Creamy,review needed
14883,Magical eraser,review needed
14252,Iced tea,review needed
14633,Frozen chicken straps - pub style,review needed
14627,Fruit Drink - See Varieties In Store,review needed
14348,Mounted coffee - McCafe - See in store varieties,review needed
14355,Sliced charcuterie - see varieties in store,review needed
14357,Butter - Lactose Free,review needed
14364,cream cheese,review needed
14365,Water flavoring,review needed
14366,Toothpaste - Pro-Enamel,review needed
14371,Dishwasher - View Varieties In store,review needed
14372,Gratin - save at least $ 5,review needed
14376,Workout underwear - Easy UPS,review needed
14378,Cheese - Mozzarella,review needed
14381,Dietal drink,review needed
14384,Gassed source water,review needed
14289,Perfume enhancer for laundry - unstopable,review needed
14294,Spread,review needed
13781,"Tiger wipers - Saturday, June 16th only - limit of 4 - $ 4.99 The rest of the week or by article out of bounds",review needed
14608,Snack bags - Unnamed - Ordinary price: $ 2,review needed
14578,Black Forest Smoked Ham Without Nitrite Sliced,review needed
14579,Rice - Quick & Good - View Varieties in store,review needed
14582,Spread,review needed
14594,Licorice,licorice
14596,Water - See Varieties In store,review needed
14602,Lipboard - Super Lustrous,review needed
14512,Dishwasher Detergent in Capsules - Powerball,review needed
14573,Cretonnaire - View Varieties in store,review needed
14612,Laundry Detergent - Ultra Packs - Saturday 8th and Sunday 9 September Only - Limit of 4 - $ 3.99 The rest of the week or by item outside the limit,review needed
14613,Laundry liquid detergent,review needed
14616,Frozen meal - Hungry-man - See in store varieties,review needed
14620,Crustles - Crispy Minis,review needed
14623,Frozen Whipped Flooring - Cool Whip - Best Prices year,review needed
14626,Maple syrup - see varieties in store,review needed
14604,Toothbrush - twister,review needed
14511,Tuna - Unnamed - See Varieties In Store,review needed
14508,Ice cream,review needed
14506,Yogurt - Classical,review needed
14466,Refrigerated fruit juice - see varieties in store,review needed
14465,Jam,jam
14464,Cut Carrots (Cocktail) Organic,review needed
14462,Frozen Whipped Flooring - Cool Whip - Best Prices year,review needed
14461,"Ice Cream - Cremerie Style, Blends - Limit of $ 2 - $ 4.49 per additional item",review needed
14453,Frozen Barbecue Pork Back Côtes - See Varieties in Store - Save $ 4,review needed
14467,"Peanut Butter - Creamy - Saturday, February 16th only - Limit of 4 - $ 4.99 The rest of the week or by article out of bound",review needed
14452,Iced tea,review needed
14447,Dietal drink,review needed
14446,Greek Greek Yogurt - See Varieties In Store,review needed
14444,Frozen Pizza - Trabec,review needed
14443,Hygienic paper - Fluff,review needed
14439,Teaser,review needed
14575,Shower Gel - See Varieties In Store,review needed
14571,"Peanut butter - all natural - Saturday 23 and Sunday, November 24th only!- limit of 4 - $ 4.99 the rest of the week or by article out of bounds",review needed
14320,Liquid soap,review needed
14298,Organic Cereals - Nature's Path - Save $ 2.02,review needed
14306,Jam - blue menu twice more fruits - see varieties in store,jam
14309,Frozen tempura shrimp,review needed
14311,Hygienic paper - limit of 4 - $ 7.99 per additional item,review needed
14312,Chocolate - Original,review needed
14313,Iced Sorbet - Chapman's - See Varieties In Store,review needed
14335,Ice Sweets - Drumstick - View Varieties in-store,review needed
14569,Black Forest Smoked Ham Without Nitrite Sliced,review needed
14326,waffles,review needed
14328,Cut Carrots (Cocktail) Organic,review needed
14330,Frozen dinner - Stouffer's,review needed
14333,Instant snack - see varieties in store,review needed
14319,Lemons,review needed
14427,Vegetables,review needed
14429,Chocolates - Ferrero Collection,review needed
14430,Red Tomatoes in Cluster - Quebec or Canada - Canada # 1,review needed
14520,Tartinade Hoummos,review needed
14523,Beer - Blanche de Chambly,review needed
14529,Chocolate syrup - Nesquik,review needed
14531,Chocolate Tablets - Lindor - See Varieties In Store,review needed
14535,Candied duck thighs,review needed
14536,"Hygienic paper - Original - Saturday, July 13th only!- Limit of 4 - $ 5.99 The rest of the week or by item outside the limit",review needed
14540,Energy Bars - Clif - View Varieties In-store,review needed
14556,Jam - Smucker's,jam
14563,Acetaminophen - Regular 325 mg,medicine
14564,Wind flights,review needed
14567,Juice,review needed
14568,Biological Hass Lawyer - Mexico,review needed
14872,Bars - Nature Croque,review needed
14634,CRETONS - Pack of 2 boxes,review needed
14785,Jam - Smucker's,jam
14796,"Peanut Butter - Creamy - Saturday 4th and Sunday, January 5th, only - Limit of 4 - $ 4.99 per additional item - $ 4.99 The rest of the week",review needed
14771,Chocolate and Hazelnut Spread - President's Choice,review needed
14778,Tissue Paper - Pack of 6 Boxes,tissue paper
14781,Mini Cucumbers - Canada,review needed
14799,Farfalle food dough,review needed
14715,Toilet paper - Essentials - See in store varieties,review needed
14803,Wipers - Green - Saturday 14th and Sunday 15 December only!- limit of 4 - $ 5.99 the rest of the week or by article out of bounds,review needed
14804,Sliced charcuterie - see varieties in store,review needed
14805,Honey,review needed
14808,fruit yogurt,review needed
14712,Honey,review needed
14705,"Flooded Pizza - Slim and crunchy crust - Saturday, August 3 only - Limit of 4 - $ 3.99 per additional item",review needed
14636,Acetaminophen - Regular 325 mg,medicine
14639,Licorice - NIBS - See Varieties in-store,licorice
14642,Disinfecting wipes,review needed
14643,Strawberries - Quebec - Canada # 1 - 300 points optimum,review needed
14645,Jam - Pure - View Varieties in store,jam
14647,"White shrimp of the Pacific Frozen cooked, delicated with tail - size: 31-40 units / lb",review needed
14648,Tortillas - POM,review needed
14650,Frozen Asian Puts - See Varieties In Store,review needed
14651,Small yellow-flesh potatoes - from Quebec - Canada No 1,review needed
14652,Disinfecting wipes,review needed
14656,Roquette - of the United States,review needed
14659,Pasta - Harvest Health,review needed
14660,Licorice,licorice
14662,Chocolate Grains - Chipits - Lower price of the year,review needed
14668,Mozzarelissima bar,review needed
14809,Gruau - Fast,review needed
14766,Licorice - NIBS - See Varieties in-store,licorice
14853,Capillary Products - Fruits,review needed
13765,Hygienic paper - Fluff,review needed
16568,Crunchy natural peanut butter,review needed
13768,Non-salty butter - Unnamed - Saturday 12th and Sunday 13 October only - Limit of 4 - $ 3.79 per additional item - $ 3.99 The rest of the week,review needed
13751,Mascara - Super Size,review needed
13755,"Peanut butter - all natural - Saturday 7th and Sunday, December 8th only!- limit of 4 - $ 4.99 the rest of the week or by article out of bounds",review needed
13759,ICE alcoholic beverage,review needed
13763,Turkey skewers with vegetables,review needed
13767,splash,review needed
14764,Cat Food - Elegant Medleys,review needed
13772,"Nail polish - Saturday, October 19th only.- limit of 4 - 9.99 per additional article",review needed
13733,PEKOE orange tea in sachets,review needed
13774,Acetaminophen - Extra Fort,medicine
13775,"Peanut butter - Natural crisp - 25 miles a bonus for the purchase of 4. - Friday, May 17th only!",review needed
13776,Wind flights,review needed
13779,"Peanut Butter - Natural Crunchy - Saturday, November 10th Only - Limit of 4 - $ 4.99 The rest of the week or by article out of bound",review needed
14249,Hygienic Towels - Infinity,review needed
14254,Gruau - See Varieties in-store,review needed
14716,Disinfecting wipes,review needed
14717,Mouthwash - Classic,review needed
14720,Smoked sausages coated with frozen dough - Original - * 50 Points Bonus m,review needed
14726,Frozen Pancakes - EGGO - * Bonus 15 Points M,review needed
14727,Limes / Green Lemons,review needed
14732,Chocolate syrup - Nesquik,review needed
14739,Red Tomatoes of Serre - Canada and / or Mexico - Category # 1,review needed
14740,Chips - Poppables - View varieties in store,review needed
14741,Drink with oats - Sofresh,review needed
14744,Energy Bar - See Varieties In Store,review needed
14751,Licorice,licorice
14753,Grain Coffee - Mont-Royal Burn,review needed
14761,Ice Cream With Vanilla,review needed
14763,Licorice - NIBS - See Varieties in-store,licorice
14669,Jelly,review needed
14671,Air Purifier - See Varieties In Store,review needed
14704,Table towels - * Bonus 15 points M,review needed
14986,Licorice,licorice
14973,Chicken and frozen broccoli gratin,review needed
14976,PUDING AT SOYA,review needed
14978,Rouge delicious apples - from the United States,review needed
14979,Shortening,review needed
14989,Seafood flavored with crab,review needed
14702,mullots,review needed
14913,Smoked sausages coated with frozen dough - Original - * 50 Points Bonus m,review needed
14996,Red Potatoes - From Quebec - Canada No 1,potatoes
14998,Snowfall - View Varieties In store,review needed
14999,Mined with ham,review needed
15000,Refrigerated Orange Juice - Choice of President - Limit of 4 - $ 3.99 per additional item,review needed
14910,Candle Kabocha - Quebec,review needed
14908,"Boneless fresh pork chops - center cut, ribbod, bbq",review needed
14904,Window cleaner,review needed
14867,Disinfecting wipes,review needed
14864,Mid-Sweet Chocolate - Baker's,review needed
14863,Jelly,review needed
14862,Rice Chips - Crispy Minis - See Varieties In Store,review needed
14861,Lemons,review needed
14858,Hygienic paper - Fluff,review needed
14869,Disinfecting wipes,review needed
14854,Honey - Unnamed,review needed
14852,Licorice,licorice
14849,Mouthwash - Classic,review needed
14844,Cheese - waterfowl,review needed
14842,Licorice,licorice
14839,Chocolate syrup - Nesquik,review needed
14838,"Grilled fish fillets, frozen - See in store varieties",review needed
14966,"Toilet paper - Saturday, February 16th only - Limit of 4 - $ 5.99 The rest of the week or by article out of bounds",review needed
14963,Tissue Papers - Pack of 6 Boxes,tissue paper
14833,Cheese - waterfowl,review needed
14694,Refrigerated dessert,review needed
14688,Meal Set - Stackers Lunch Mate,review needed
14687,Antisodorific or deodorant,review needed
14711,Tissue Papers - Pack of 6 Boxes,tissue paper
14684,Grape bread with cinnamon - pom,review needed
14680,Smoked sausages coated with frozen dough - original,review needed
14679,Instant coffee,review needed
14678,Ice Sweets - Drumstick - View Varieties in-store,review needed
14677,Collagen - Original Formula,review needed
14675,"Peanut Butter - Creamy and Light - Saturday, February 16th only - Limit of 4 - $ 4.99 The rest of the week or by article out of bound",review needed
14682,Oat cookies,cookies
14828,Pizza lift-au oven frozen,review needed
14835,Hot Chocolate Mix - Carnation,review needed
14962,Chocolate treats,review needed
14917,Gel air refresher - see varieties in store,air fresheners
14922,Cream cheese icing - Philadelphia,review needed
14924,Gassed source water,review needed
14927,Cornets,review needed
14928,Red wine,review needed
14929,Nail Polish - Color Rich,review needed
14942,Chocolate,review needed
14945,Crunchy bars - Special K,review needed
14951,Fresh chicken pestles,review needed
14955,waffles,review needed
14958,"Frozen Pizza - Rustico - Buy 3 and get 40 air miles as a bonus.Friday, December 7th only.",review needed
14959,Chicken Eggs Free - Gros Caliber,review needed
14960,Black grapes without glitches - United States - Category # 1,review needed
14437,Glossard Dessert - Drumstick,review needed
14449,"White shrimps of the pacific cooked, shelled and deep, frozen - size: 70-90 units / lb",review needed
14628,Tortillas in bowl,review needed
18383,Instant Coffee - Taste's Choice - * Bonus 20 Points M,review needed
18377,Dietal drink,review needed
18379,Cerk Cache Instant,review needed
18380,Cereals - Shredded Wheat - See Varieties in-store,review needed
18385,Asparagus - Mexico and / or Peru - Category # 1,review needed
18358,Yogurt - Original - View Varieties in store,review needed
18387,Pasta - See Varieties In stock,review needed
18389,Cream Cheese - Philadelphia - See Varieties In stock,review needed
18390,Sliced charcuterie - see varieties in store,review needed
18391,Towel - Tuff,review needed
18362,"duck, magrets or breasts",review needed
18373,Cookies - Goglu,cookies
18381,Beans - * bonus 25 points m with the purchase of 4,review needed
18394,A meatball stew,review needed
18296,Lince-Mouth - Classical,review needed
18164,Plates,review needed
18168,Partially skimmed milk 1% - finely filtered,review needed
18171,Jam,jam
18175,Prosciutto,review needed
18176,Green grapes without glitches - the United States - Category # 1,review needed
18180,Cereal - Mini Wheats,review needed
18196,Ice Cream With Vanilla,review needed
18198,Frozen duck - Category Utility,review needed
18201,"Refrigerated orange juice, without orange pulps",review needed
18202,"Jam, jelly, marmalade, spread - see varieties in store",jam
18359,Mozzarelissima bar,review needed
18357,Capillary products,review needed
18879,Chicken for frozen Chinese fondue,review needed
18854,Mascara - Big Curl,review needed
18866,White baguette or multigrain,review needed
18867,Creamy cabbage salad,review needed
18868,Rice - Converted,review needed
18876,Smoothie - Iögo - View varieties in store <,review needed
18891,Honey,review needed
18880,Battery,review needed
18353,"Peanut Butter - Creamy and Light - Saturday 4th and Sunday, January 5th, only - Limit of 4 - $ 4.99 per additional item - $ 4.99 The rest of the week",review needed
18881,Dry atomizer - Dry,review needed
18883,vegetable shortening,review needed
18884,Yellow Peppers of Fields - Quebec,review needed
18886,?,review needed
